No,Job Title,Location,Employee Type,Company Type,Company,Job Function,Job Category,Require
68,Insights Manager,Phnom Penh,Full-time,Private,Cambrew Ltd,Marketing and Analyst,Other,"CRM, Zoho, Pardot, Marketo, Google WorkSpace, MS Office, Asana, Trello"
69,Learning & Development Executive,Phnom Penh,Full-time,Private,Shangri-La Phnom Penh,Human Resources,Other,"Moodle, Canvas, Blackboard, Cornerston"
70,Payment Risk Manager,Phnom Penh,Full-time,Private,UnionPay International,Legal,Other,"OFSAA, HubSpot CRM, Zoho CRM"
71,Research Associate,Phnom Penh,Full-time,Private,Indochina Research Cambodia,"Research, Analyst, and Information Technology",Data Scientist,"Python, R, SQL, AWS, Azure, Google Clound, MATLAB, Julia, Scala, SAS, Excel, Bash"
72,Senior C# Developer,Phnom Penh,Full-time,Private,"CoGen HR, Management Academy and Consulting Group",,Other,"C#, MS Office, SQL, ASP.Net, ASP.Net MVC,NUnit "
73,"Specialist, Business Analyst",Phnom Penh,Full-time,Private,Chip Mong Group,"Research, Analyst, and Information Technology",Data Analysis,"Excel, Python, R, SQL, Tableau, Power Bi"
74,Assistant ERP Analyst,Phnom Penh,Full-time,Private,EFG,Business Development and Sales,Data Analysis,"Excel, Python, R, SQL, Tableau, Power Bi"
75,Corporate Finance Analyst,Phnom Penh,Full-time,Private,Top Recruitment Cambodia,Finance and Sales,Data Analysis,"Excel, Python, R, SQL, Tableau, Power Bi"
76,Finance Business Partner Manager,Phnom Penh,Full-time,Private,Unilever,Finance,Other,"Excel, Python, R, SQL, Tableau, Power Bi"
77,Junior Application Developer Backend,Phnom Penh,Full-time,Private,Smart Axiata,Engineering and Information Technology,Other,"Java, Python, JavaScript, C#, Ruby, PHP, Scala, SQL, NoSQL"
78,Junior Data Analyst,Phnom Penh,Full-time,Private,Smart Axiata,Information Technology and Engineering,Data Analysis,"Excel, Python, R, SQL, Tableau, Power Bi"
79,Lead & Senior FE Developer (Cambodia),Phnom Penh,Full-time,Private,Gattaca Outsource,Engineering and Information Technology,Other,"Java, Python, JavaScript, C#, Ruby, PHP, Scala, SQL, NoSQL"
80,"Manager, Risk Analytics and Management",Phnom Penh,Full-time,Private,CIMB Bank PLC,"Research, Analyst, and Information Technology",Data Analysis,"Excel, Python, R, SQL, Tableau, Power Bi"
81,Market Access Analyst,Phnom Penh,Full-time,Private,Confluences,,Data Analysis,"Excel, Python, R, SQL, Tableau, Power Bi"
82,Market Analyst Assistant,Phnom Penh,Full-time,Private,Vattanac Brewery,Marketing and Sales,Data Analysis,"Excel, Python, R, SQL, Tableau, Power Bi"
83,Senior Auditors for Data and Business Intelligence Analyst,Phnom Penh,Full-time,Private,PwC,Accounting/Auditing and Finance,Data Analysis,"Excel, Python, R, SQL, Tableau, Power Bi"
84,Senior Data Scientist,Phnom Penh,Full-time,Private,Smart Axiata,Engineering and Information Technology,Data Scientist,"Python, R, SQL, AWS, Azure, Google Clound, MATLAB, Julia, Scala, SAS, Excel, Bash"
85,Senior Developer (Backend/Frontend/iOS/Android),Phnom Penh,Full-time,Private,Pathmazing Inc,Engineering and Information Technology,Other,"Java, Python, JavaScript, C#, Ruby, PHP, Scala, SQL, NoSQL"
86,Senior Software Developer,Phnom Penh,Full-time,Private,Soma Group,Engineering and Information Technology,Other,"Java, Python, JavaScript, C#, Ruby, PHP, Scala, SQL, NoSQL"
87,Strategic Insights & Business Intelligence Supervisor,Phnom Penh,Full-time,Private,JTI (Japan Tobacco International),"Advertising, Marketing, and Product Management",Data Analysis,"Excel, Python, R, SQL, Tableau, Power Bi"
88,Strategic Insights & Business Intelligence Supervisor,Phnom Penh,Full-time,Private,myGwork - LGBTQ+ Business Community,Other,Data Analysis,"Excel, Python, R, SQL, Tableau, Power Bi"
89,Data Sciecntist,Phnom Penh,Full-time,Private,,Construction,Data Scientist,"Python, R, SQL, AWS, Azure, Google Clound, MATLAB, Julia, Scala, SAS, Excel, Bash"
90,Ai Enginner Manager,Phnom Penh,Full-time,Private,AI farm robotic Factory,Machinery / automation equipment,Data Scientist,"Python, R, SQL, AWS, Azure, Google Clound, MATLAB, Julia, Scala, SAS, Excel, Bash"
91,Data Analysis,Phnom Penh,Full-time,Public,Digital Government Committee,Telecommunications/Postal service,Data Analysis,"Excel, Python, R, SQL, Tableau, Power Bi"
92,Data Engineer,Phnom Penh,Full-time,Private,"CMED COnstructionCo, Ltd",Insurance,Data Engineer,"Python, SQL, Scala, Java, R, Apache Spark, Hadoop, Apache Kafka, No SQL, ETL, AWS, Google Clound"
93,Data Scientist,Phnom Penh,Full-time,Public,Ministry Office,Digiltal Government/ technology,Data Scientist,"Python, R, SQL, AWS, Azure, Google Clound, MATLAB, Julia, Scala, SAS, Excel, Bash"
94,Junior Data Analyst,Phnom Penh,Full-time,Private,Smart Axiata,technology,Data Analysis,"Excel, Python, R, SQL, Tableau, Power Bi"
95,Senior Ai enginner,Phnom Penh,Full-time,Private,AI farm robotic Factory,Machinery / automation equipment,Data Scientist,"Python, R, SQL, AWS, Azure, Google Clound, MATLAB, Julia, Scala, SAS, Excel, Bash"
96,Senior Software System Managemnet officer,Phnom Penh,Full-time,Public,"CMED COnstructionCo, Ltd",Finance,Other,"Java, Python, JavaScript, C#, Ruby, PHP, Scala, SQL, NoSQL"
97,Software and Data Engineer,Phnom Penh,Full-time,Private,Prudential (cambodia) Life  Assurance,Insurance,Data Engineer,"Python, SQL, Scala, Java, R, Apache Spark, Hadoop, Apache Kafka, No SQL, ETL, AWS, Google Clound"
98,AI Enginneer,Phnom Penh,Full-time,Private,"CMED COnstructionCo, Ltd",Machinery / automation equipment,Data Scientist,"Python, R, SQL, AWS, Azure, Google Clound, MATLAB, Julia, Scala, SAS, Excel, Bash"
99,AI expert,Phnom Penh,Full-time,Public,Ministry of Economic and finance,Digiltal Government/ technology,Data Scientist,"Python, R, SQL, AWS, Azure, Google Clound, MATLAB, Julia, Scala, SAS, Excel, Bash"
100,Bussiness Analyst Supervisor,Phnom Penh,Full-time,Private,Digital Government Committee,IT & Telecommunication,Data Analysis,"Excel, Python, R, SQL, Tableau, Power Bi"
101,Data Analyst,Phnom Penh,Full-time,Private,Smart Axiata,Banking,Data Analysis,"Excel, Python, R, SQL, Tableau, Power Bi"
102,Data Analyst lead,Phnom Penh,Full-time,Private,Braintrust.APJ,Telecommunications,Data Analysis,"Excel, Python, R, SQL, Tableau, Power Bi"
103,Data center expert,Phnom Penh,Full-time,Public,Ministry Office,Digiltal Government/ technology,Data Engineer,"Python, SQL, Scala, Java, R, Apache Spark, Hadoop, Apache Kafka, No SQL, ETL, AWS, Google Clound"
104,Data Engineer,Phnom Penh,Full-time,Private,Solution BI,Education,Data Engineer,"Python, SQL, Scala, Java, R, Apache Spark, Hadoop, Apache Kafka, No SQL, ETL, AWS, Google Clound"
105,Data Entry,Phnom Penh,Full-time,Private,Prudential (cambodia) Life  Assurance,Construction,Data Scientist,"Python, R, SQL, AWS, Azure, Google Clound, MATLAB, Julia, Scala, SAS, Excel, Bash"
106,Data Scientist,Phnom Penh,Full-time,Private,AI farm robotic Factory,General bussiness Service,Data Scientist,"Python, R, SQL, AWS, Azure, Google Clound, MATLAB, Julia, Scala, SAS, Excel, Bash"
107,Data Scientist,Phnom Penh,Full-time,Private,ABA Bank,Health,Data Scientist,"Python, R, SQL, AWS, Azure, Google Clound, MATLAB, Julia, Scala, SAS, Excel, Bash"
108,Data Specialist for Ai models,Phnom Penh,Full-time,Private,RWS Group,Insurance,Data Scientist,"Python, R, SQL, AWS, Azure, Google Clound, MATLAB, Julia, Scala, SAS, Excel, Bash"
109,Database Management Officer,Phnom Penh,Full-time,Public,Ministry of Economic and finance,Finance,Data Engineer,"Python, SQL, Scala, Java, R, Apache Spark, Hadoop, Apache Kafka, No SQL, ETL, AWS, Google Clound"
110,Digital data Engineer,Phnom Penh,Full-time,Private,Cathay United bank,Telecommunications,Data Engineer,"Python, SQL, Scala, Java, R, Apache Spark, Hadoop, Apache Kafka, No SQL, ETL, AWS, Google Clound"
111,Junior Data Scientist,Phnom Penh,Full-time,Private,WOW Now,Architecture/ Construction,Data Scientist,"Python, R, SQL, AWS, Azure, Google Clound, MATLAB, Julia, Scala, SAS, Excel, Bash"
112,"Mananger, technology risk  manangement and data governce",Phnom Penh,Full-time,Private,Prudential (cambodia) Life  Assurance,Insurance,Other,"Java, Python, JavaScript, C#, Ruby, PHP, Scala, SQL, NoSQL"
113,Senior Auditors for Data and bussiness Intelligent analyst,Phnom Penh,Full-time,Private,Financial Service Company,Professional Service,Data Analysis,"Excel, Python, R, SQL, Tableau, Power Bi"
